date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-01,18,14.7,25,0,,98,11.2,,1024.6,
2024-08-02,19.1,14,26,0,,85,10.3,,1023.5,
2024-08-03,20.5,15,28,0,,62,8.5,,1022.2,
2024-08-04,21.3,14,28,0,,65,8.7,,1021.4,
2024-08-05,22.1,15,28,0,,73,6.3,,1021.7,
2024-08-06,22.6,14,28,0,,77,6.6,,1019.5,
2024-08-07,22.2,14,28,0,,24,9.2,,1016.5,
2024-08-08,22.7,15,29,0,,343,8.9,,1014.9,
2024-08-09,17.4,13,20.1,7.9,,256,8.6,,1017.6,
2024-08-10,11.7,9,14.1,31,,165,9.8,,1019.9,
2024-08-11,12.6,8,20,0,,12,6.6,,1020.2,
2024-08-12,13.6,9,19,0,,307,12.7,,1020,
2024-08-13,10.3,8.2,14,0,,132,13.9,,1024.6,
2024-08-14,14.1,8.6,23,0,,98,8.1,,1023.2,
2024-08-15,18.1,8,28,0,,64,6.8,,1021.6,
2024-08-16,21.2,11,30,0,,110,5.3,,1020.6,
2024-08-17,21.5,12,31,0,,91,4.6,,1019.9,
2024-08-18,22.1,11,31,0,,95,6,,1018.7,
2024-08-19,22.6,12,31,0,,107,6.6,,1018.5,
2024-08-20,21.5,13,31,0,,122,7.8,,1019.9,
2024-08-21,20.5,15.7,28,0,,101,10.7,,1020.1,
2024-08-22,22.3,16,31,0,,47,9.1,,1017.1,
2024-08-23,22.3,14,30,0,,91,11.1,,1013.3,
2024-08-24,17.3,15,20,4.5,,147,12.3,,1018.1,
2024-08-25,12.6,9.7,15.3,4.3,,191,13.2,,1021.7,
2024-08-26,11.1,8.6,16.6,0,,192,11,,1023.5,
2024-08-27,12.3,7.9,19.7,,,193,9.9,,1024.1,
2024-08-28,16.1,11.2,23,,,195,8.4,,1022.7,
2024-08-29,19.8,14.5,26.1,,,217,7.1,,1021.1,
2024-08-30,21.6,16.3,28.3,,,236,7.4,,1018.3,
2024-08-31,21.2,16.4,27.2,,,210,6.5,,1017.3,
