date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,21,17.5,25,,,0,7.7,,1010.8,
2022-01-02,22.5,19.7,27,,,16,8.3,,1012.5,
2022-01-03,22.7,20.6,28.2,,,64,6.3,,1011.8,
2022-01-04,22.4,19.7,27,,,351,7.3,,1009.5,
2022-01-05,22.8,20,25,,,330,11.3,,1007.9,
2022-01-06,21.6,19,26,,,223,11.2,,1009.7,
2022-01-07,19.4,18,21.7,,,147,13.1,,1012.7,
2022-01-08,18.7,17,21.5,,,137,14.8,,1014,
2022-01-09,17.5,16.6,20,,,129,12.7,,1014.9,
2022-01-10,19.8,16,24,,,124,7.3,,1012.3,
2022-01-11,20.5,19,23.5,,,129,5,,1011.9,
2022-01-12,21.4,18,27,,,69,7.3,,1014.6,
2022-01-13,22.2,19.8,29,,,93,9.3,,1018.1,
2022-01-14,23.4,20.2,29,,,105,9.6,,1020.1,
2022-01-15,24.2,21,28,,,88,9.8,,1019.4,
2022-01-16,22.9,19.6,29,,,1,9.5,,1016.1,
2022-01-17,24.1,18.7,28,,,331,9.8,,1015,
2022-01-18,24.9,19.1,32,,,352,8.4,,1016.2,
2022-01-19,23.7,18.7,32,,,16,7,,1018.1,
2022-01-20,23.4,18,31,,,81,8.7,,1017.1,
2022-01-21,24.2,18.5,30,,,110,10.3,,1015.6,
2022-01-22,24.1,19.2,32,,,122,9.1,,1015.2,
2022-01-23,24.8,21.3,32,,,103,9.3,,1014.2,
2022-01-24,24.7,21.7,31,,,106,10.2,,1013.6,
2022-01-25,24.6,21.5,31,,,86,10.1,,1013.3,
2022-01-26,25,20.7,31,,,353,10.9,,1012.2,
2022-01-27,25.2,22,30,,,322,13.3,,1011.4,
2022-01-28,21.5,20,25,,,275,7.8,,1010.8,
2022-01-29,20.1,19,23,,,263,7.1,,1011.3,
2022-01-30,20.1,18.2,23,,,336,7,,1012.4,
2022-01-31,20.9,19.1,24,,,325,8.3,,1012,
2022-02-01,21.6,19.4,26,,,326,8.9,,1014.1,
2022-02-02,21.6,19.8,25,,,66,8.9,,1016,
2022-02-03,22.5,19.8,27,,,74,8.6,,1015.4,
2022-02-04,23.2,20.4,27,,,304,8.7,,1013.9,
2022-02-05,24.2,21.3,28,,,306,13.2,,1011.8,
2022-02-06,23.6,21.5,27,,,311,10.9,,1012.1,
2022-02-07,20.7,19,22,,,153,8.5,,1013.6,
2022-02-08,20.7,18.4,25,,,119,15,,1014.1,
2022-02-09,20.7,16.5,24,,,118,16.4,,1014.1,
2022-02-10,20.9,16.1,26,,,111,12,,1014.2,
2022-02-11,20.8,18,25,,,111,13.6,,1014.7,
2022-02-12,21.4,18.2,26,,,112,10.9,,1014.7,
