date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-08-30,21.6,16.3,28.3,,,236,7.4,,1018.3,
2024-08-31,21.2,16.4,27.2,,,210,6.5,,1017.3,
2024-09-01,20.1,15.5,26.3,,,223,8.3,,,
2024-09-02,19.4,15.4,26.3,,,218,9.4,,,
2024-09-03,19.6,15.4,28,,,182,9.1,,,
2024-09-04,24.6,17,31,0,,81,11.8,,,
2024-09-05,20.5,16,26,0.1,,131,13,,1018.4,
2024-09-06,17.6,15,21,0,,135,15.5,,1019.4,
2024-09-07,22.7,17,33,0,,91,8.6,,1018.7,
2024-09-08,25.2,18,33,0,,83,6.4,,1020.1,
2024-09-09,25,17,33,0,,102,8.1,,1018.5,
2024-09-10,24,14,32,0,,76,7.9,,1016.8,
2024-09-11,24.9,15,32,0,,53,6.5,,1016.4,
2024-09-12,24.9,15,32,0,,47,8.7,,1016.7,
2024-09-13,25.2,16,32,0,,42,7.3,,1015.4,
2024-09-14,23.6,17,28,0,,109,11.5,,1017.1,
2024-09-15,18.6,17,21,0.6,,145,15.9,,1020,
2024-09-16,15.9,14,17.2,6.2,,164,10.4,,1021.5,
2024-09-17,15.2,13.7,17,0.4,,136,17,,1022.7,
2024-09-18,16.9,14.1,21,0,,112,13,,1021.1,
2024-09-19,18.6,15.9,24,0,,109,9.8,,1018.3,
2024-09-20,23,16,32,0.2,,96,12.3,,1015.6,
2024-09-21,22.2,16,27,1,,134,7.3,,1016.4,
2024-09-22,23.2,18,31,0,,123,7.2,,1015.4,
2024-09-23,24.4,16,33,0,,110,8.7,,1015.5,
2024-09-24,24.6,18,34,0,,116,7.8,,1015.6,
2024-09-25,26.7,19.9,34,0,,90,8.5,,1014.2,
2024-09-26,27.2,21,35,0,,68,7.8,,1010.9,
2024-09-27,22.1,18.1,26.2,1,,220,8.6,,1009.6,
2024-09-28,18.9,15.7,24.6,0,,172,12,,1014.9,
2024-09-29,20.8,16.6,27.6,,,156,11.4,,1015.5,
