datetime,temp_celsius,feels_like_celsius,humidity_percent,wind_speed_mps,weather_description
2024-09-08 03:00:00,19.08,19.45,92,1.75,few clouds
2024-09-08 06:00:00,19.25,19.48,86,1.9,few clouds
2024-09-08 09:00:00,18.95,19.02,81,2.08,few clouds
2024-09-08 12:00:00,25.86,25.89,53,1.16,few clouds
2024-09-08 15:00:00,27.79,27.98,47,1.49,clear sky
2024-09-08 18:00:00,25.63,25.79,59,1.43,clear sky
2024-09-08 21:00:00,19.91,20.23,87,2.01,clear sky
2024-09-09 00:00:00,19.05,19.31,88,2.48,clear sky
2024-09-09 03:00:00,18.49,18.82,93,2.98,few clouds
2024-09-09 06:00:00,18.32,18.53,89,2.87,few clouds
2024-09-09 09:00:00,18.04,17.96,79,2.78,scattered clouds
2024-09-09 12:00:00,24.18,24.04,53,2.18,scattered clouds
2024-09-09 15:00:00,26.01,26.01,51,1.16,clear sky
2024-09-09 18:00:00,26.01,26.01,52,1.51,clear sky
2024-09-09 21:00:00,19.61,19.79,83,2.13,clear sky
2024-09-10 00:00:00,18.51,18.64,85,1.77,scattered clouds
2024-09-10 03:00:00,18.33,18.54,89,2.41,broken clouds
2024-09-10 06:00:00,17.87,18.01,88,2.06,broken clouds
2024-09-10 09:00:00,17.78,17.75,82,1.04,broken clouds
2024-09-10 12:00:00,24.36,24.29,55,1.28,broken clouds
2024-09-10 15:00:00,23.98,24.03,61,1.39,broken clouds
2024-09-10 18:00:00,24.74,24.86,61,1.43,broken clouds
2024-09-10 21:00:00,19.9,19.96,77,1.59,few clouds
2024-09-11 00:00:00,18.87,18.82,77,1.74,broken clouds
2024-09-11 03:00:00,20.53,20.34,65,1.16,overcast clouds
2024-09-11 06:00:00,20.27,20.05,65,0.53,overcast clouds
2024-09-11 09:00:00,20.67,20.28,57,1.25,overcast clouds
2024-09-11 12:00:00,27.44,27.09,38,0.66,broken clouds
2024-09-11 15:00:00,29.79,29.56,41,1.5,clear sky
2024-09-11 18:00:00,27.02,27.2,46,1.92,clear sky
2024-09-11 21:00:00,23.22,22.9,50,2.34,clear sky
2024-09-12 00:00:00,22.4,22.03,51,2.07,few clouds
2024-09-12 03:00:00,22.55,22.19,51,2.45,broken clouds
2024-09-12 06:00:00,23.75,23.17,38,2.92,broken clouds
2024-09-12 09:00:00,24.03,23.48,38,2.41,broken clouds
2024-09-12 12:00:00,29.94,28.7,30,2.78,broken clouds
2024-09-12 15:00:00,28.02,27.82,42,2.4,overcast clouds
2024-09-12 18:00:00,24.21,24.31,62,1.37,overcast clouds
2024-09-12 21:00:00,19.46,19.73,87,0.95,few clouds
2024-09-13 00:00:00,18.17,18.44,92,2.2,few clouds
