data,wdir,wspd,pres,dia_semana,mes,ano,temp_min_prevista,temp_max_prevista
2024-09-30,210,6.5,1017.3,0,9,2024,16.237629,26.19509
2024-10-01,223,8.3,,1,10,2024,15.071893,21.049934
2024-10-02,218,9.4,,2,10,2024,15.85682,21.083729
2024-10-03,182,9.1,,3,10,2024,15.11787,21.779657
2024-10-04,81,11.8,,4,10,2024,15.843969,24.424093
2024-10-05,131,13.0,1018.4,5,10,2024,15.674191,20.970877
2024-10-06,135,15.5,1019.4,6,10,2024,15.676125,19.158524
2024-10-07,91,8.6,1018.7,0,10,2024,16.798119,26.921505
2024-10-08,83,6.4,1020.1,1,10,2024,14.88824,25.817377
2024-10-09,102,8.1,1018.5,2,10,2024,17.00529,25.622377
2024-10-10,76,7.9,1016.8,3,10,2024,17.405247,28.191801
2024-10-11,53,6.5,1016.4,4,10,2024,17.574804,28.824305
2024-10-12,47,8.7,1016.7,5,10,2024,18.020185,29.899206
2024-10-13,42,7.3,1015.4,6,10,2024,18.406982,28.748848
2024-10-14,109,11.5,1017.1,0,10,2024,17.275024,26.573174
2024-10-15,145,15.9,1020.0,1,10,2024,15.879781,19.689695
2024-10-16,164,10.4,1021.5,2,10,2024,15.623102,21.00482
2024-10-17,136,17.0,1022.7,3,10,2024,16.051325,18.569525
2024-10-18,112,13.0,1021.1,4,10,2024,15.386633,23.181803
2024-10-19,109,9.8,1018.3,5,10,2024,17.49772,27.021528
2024-10-20,96,12.3,1015.6,6,10,2024,18.007933,27.307878
2024-10-21,134,7.3,1016.4,0,10,2024,17.00676,25.003952
2024-10-22,123,7.2,1015.4,1,10,2024,17.13905,26.829306
2024-10-23,110,8.7,1015.5,2,10,2024,17.82908,28.580956
2024-10-24,116,7.8,1015.6,3,10,2024,17.516708,25.864077
2024-10-25,90,8.5,1014.2,4,10,2024,18.176098,28.318048
2024-10-26,68,7.8,1010.9,5,10,2024,18.611586,29.133432
2024-10-27,220,8.6,1009.6,6,10,2024,18.262255,26.188004
2024-10-28,172,12.0,1014.9,0,10,2024,18.053438,25.399399
2024-10-29,156,11.4,1015.5,1,10,2024,17.602324,23.769814
